,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
31,004840,DRB동일,798.0,6.26,19664.0,0.25,100,2.0
32,241520,DSC인베스트먼트,543.0,5.92,3895.0,0.83,40,1.24
33,155660,DSR,1093.0,3.71,13467.0,0.3,60,1.48
34,069730,DSR제강,899.0,4.59,13555.0,0.3,60,1.45
35,017860,DS단석,7966.0,9.09,47319.0,1.53,0,0.0
36,017940,E1,36872.0,2.01,280943.0,0.26,5150,6.94
37,383220,F&F,11144.0,4.88,33834.0,1.61,1700,3.13
38,007700,F&F홀딩스,3130.0,4.33,54668.0,0.25,400,2.95
39,130500,GH신소재,148.0,30.91,5394.0,0.85,0,0.0
40,114090,GKL,709.0,15.37,6658.0,1.64,353,3.24
41,078930,GS,13737.0,3.24,142065.0,0.31,2500,5.62
42,083450,GST,1985.0,8.99,12539.0,1.42,500,2.8
43,001250,GS글로벌,337.0,10.25,5113.0,0.68,25,0.72
44,007070,GS리테일,173.0,119.65,39235.0,0.53,500,2.42
45,297890,HB솔루션,1137.0,4.29,3319.0,1.47,30,0.61
46,440290,HB인베스트먼트,444.0,4.88,2922.0,0.74,0,0.0
47,078150,HB테크놀러지,983.0,2.94,3503.0,0.83,20,0.69
48,012630,HDC,2147.0,4.9,49804.0,0.21,300,2.85
49,039570,HDC랩스,573.0,14.5,11253.0,0.74,450,5.42
50,089470,HDC현대EP,759.0,5.74,11685.0,0.37,140,3.21
51,294870,HDC현대산업개발,2678.0,8.79,46876.0,0.5,700,2.97
52,009540,HD한국조선해양,3135.0,63.67,140052.0,1.43,0,0.0
53,267250,HD현대,3743.0,22.09,103689.0,0.8,3700,4.47
54,267270,HD현대건설기계,7659.0,7.17,86604.0,0.63,700,1.28
55,443060,HD현대마린솔루션,3778.0,30.12,5999.0,18.97,2500,2.2
56,071970,HD현대마린엔진,1108.0,19.63,7893.0,2.76,0,0.0
57,042670,HD현대인프라코어,1159.0,6.38,9097.0,0.81,110,1.49
58,267260,HD현대일렉트릭,7200.0,42.64,29121.0,10.54,1000,0.33
59,329180,HD현대중공업,278.0,746.4,58660.0,3.54,0,0.0
60,195940,HK이노엔,1666.0,25.15,42487.0,0.99,350,0.84
61,014790,HL D&I,370.0,7.05,9721.0,0.27,0,0.0
62,204320,HL만도,2890.0,12.32,47505.0,0.75,600,1.69
63,060980,HL홀딩스,5237.0,6.58,105173.0,0.33,2000,5.81
64,011200,HMM,1667.0,10.65,31115.0,0.57,700,3.94
65,403870,HPSP,990.0,30.51,3350.0,9.01,150,0.5
66,036640,HRS,758.0,7.02,7165.0,0.74,200,3.76
67,035000,HS애드,1000.0,6.31,11276.0,0.56,450,7.13
68,002460,HS화성,2302.0,3.92,40704.0,0.22,500,5.54
69,003560,IHQ,6784.0,1.59,6389.0,1.68,0,0.0
70,095340,ISC,749.0,78.64,23130.0,2.55,200,0.34
71,175330,JB금융지주,2907.0,5.19,26120.0,0.58,855,5.67
72,234080,JW생명과학,1818.0,6.49,10294.0,1.15,500,4.24
73,001060,JW중외제약,1504.0,19.28,10784.0,2.69,400,1.38
74,096760,JW홀딩스,266.0,12.65,1716.0,1.96,105,3.12
75,035900,JYP Ent.,3186.0,16.07,11897.0,4.3,574,1.12
76,318000,KBG,541.0,11.13,4834.0,1.25,100,1.66
77,024840,KBI메탈,2.0,1615.0,3450.0,0.94,0,0.0
78,105560,KB금융,11580.0,7.68,150344.0,0.59,3060,3.44
79,024120,KB오토시스,92.0,42.93,9459.0,0.42,150,3.8
80,002380,KCC,28917.0,10.62,704004.0,0.44,8000,2.61
81,021320,KCC건설,519.0,8.78,22370.0,0.2,130,2.85
82,344820,KCC글라스,5125.0,8.03,93331.0,0.44,2200,5.35
83,036670,KCI,1022.0,7.29,9891.0,0.75,250,3.36
84,009070,KCTC,897.0,5.71,9122.0,0.56,70,1.37
85,046440,KG모빌리언스,1176.0,3.95,9255.0,0.5,220,4.74
86,003620,KG모빌리티,48.0,123.75,5791.0,1.03,0,0.0
87,016380,KG스틸,2342.0,2.51,18893.0,0.31,200,3.4
88,151860,KG에코솔루션,1844.0,3.34,24975.0,0.25,120,1.95
89,035600,KG이니시스,2909.0,3.43,17862.0,0.56,420,4.21
90,001390,KG케미칼,1446.0,3.04,13412.0,0.33,120,2.73
91,111870,KH 미래물산,4998.0,1.78,23064.0,0.39,0,0.0
92,060720,KH바텍,1369.0,8.31,11142.0,1.02,400,3.52
93,015590,KIB플러그에너지,62.0,8.11,540.0,0.93,0,0.0
94,001940,KISCO홀딩스,6602.0,2.92,84091.0,0.23,900,4.67
95,058400,KNN,63.0,11.9,1622.0,0.46,20,2.67
96,025000,KPX케미칼,13643.0,3.54,133924.0,0.36,3000,6.22
97,092230,KPX홀딩스,21366.0,2.68,236881.0,0.24,3500,6.12
98,044450,KSS해운,755.0,12.7,18624.0,0.51,350,3.65
99,101000,KS인더스트리,199.0,11.86,832.0,2.84,0,0.0
100,030200,KT,4043.0,9.58,67972.0,0.57,1960,5.06
101,033780,KT&G,7843.0,12.76,81326.0,1.23,5200,5.19
